Acc_Num;Species_TaxID;Genus_TaxID;Family_TaxID;Order_TaxID;Class_TaxID;Phylum_TaxID
CP001860;62320;121871;1644061;1644060;183963;28890
CP001899;54261;54260;2232;2231;183980;28890
CP001932;13769;63742;1644061;1644060;183963;28890
CP001941;;;;379547;379546;28890
CP002101;39669;196136;2206;94695;224756;28890
CP002278;2180;2179;2178;2158;183925;28890
CP002551;877455;2160;2159;2158;183925;28890
CP002772;868131;2160;2159;2158;183925;28890
CP002839;387343;387342;1644061;1644060;183963;28890
CP002913;39152;2184;2183;2182;183939;28890
CP002916;;;1054217;2301;183967;28890
CP002920;1042877;2263;2259;2258;183968;28890
CP002952;246969;2263;2259;2258;183968;28890
CP003117;301375;2222;143067;94695;224756;28890
CP003243;1175444;570266;570265;570264;224756;28890
CP003372;69525;88723;1644061;1644060;183963;28890
CP003377;44930;2256;1644061;1644060;183963;28890
CP003412;406552;88723;1644061;1644060;183963;28890
CP003534;1183377;2260;2259;2258;183968;28890
CP003685;2261;2260;2259;2258;183968;28890
CP005290;1316941;2233;2232;2231;183980;28890
CR936257;2257;63743;1963268;2235;183963;28890
FR746099;293091;293431;1644056;1644055;183963;28890
L77117;2190;196118;196117;2182;183939;28890
AE004092;1314;1301;1300;186826;91061;1239
AE005176;1358;1357;1300;186826;91061;1239
AE016879;1392;1386;186817;1385;91061;1239
AE017225;1392;1386;186817;1385;91061;1239
AE017262;1639;1637;186820;1385;91061;1239
AM406671;1358;1357;1300;186826;91061;1239
AP006840;2734;2733;543349;186802;186801;1239
AP008955;1393;55080;186822;1385;91061;1239
AP008971;1260;150022;1570339;1737405;1737404;1239
AP009333;1363;1357;1300;186826;91061;1239
AP009484;69966;69965;90964;1385;91061;1239
AP012027;1648;1647;128827;526525;526524;1239
AP012281;1358;1357;1300;186826;91061;1239
BA000004;86665;1386;186817;1385;91061;1239
CM000748;1428;1386;186817;1385;91061;1239
CP000002;1402;1386;186817;1385;91061;1239
CP000154;1406;44249;186822;1385;91061;1239
CP000422;1255;1253;33958;186826;91061;1239
CP000557;33940;129337;186817;1385;91061;1239
CP000612;59610;1562;186807;186802;186801;1239
CP000679;44001;44000;543371;68295;186801;1239
CP000721;1520;1485;31979;186802;186801;1239
CP000813;1408;1386;186817;1385;91061;1239
CP000860;471827;471826;186807;186802;186801;1239
CP000885;66219;1506553;186803;186802;186801;1239
CP000922;33934;150247;186817;1385;91061;1239
CP001022;;332410;33986;1385;91061;1239
CP001034;375929;375928;485255;485256;186801;1239
CP001098;31909;32636;972;53433;186801;1239
CP001107;;39491;186803;186802;186801;1239
CP001145;35786;68335;2138247;2138246;2138243;2138240
CP001336;49338;36853;186807;186802;186801;1239
CP001393;31899;44000;543371;68295;186801;1239
CP001638;471223;129337;186817;1385;91061;1239
CP001791;;85683;186821;1385;91061;1239
CP001794;544556;129337;186817;1385;91061;1239
CP001810;43305;830;186803;186802;186801;1239
CP001834;1358;1357;1300;186826;91061;1239
CP001845;1313;1301;1300;186826;91061;1239
CP001982;1404;1386;186817;1385;91061;1239
CP002017;33943;1129704;186823;1385;91061;1239
CP002028;863643;278993;186807;186802;186801;1239
CP002048;86170;129001;68298;186802;186801;1239
CP002091;1392;1386;186817;1385;91061;1239
CP002207;1452;1386;186817;1385;91061;1239
CP002210;573062;1754;186814;68295;186801;1239
CP002213;1406;44249;186822;1385;91061;1239
CP002216;55205;44000;543371;68295;186801;1239
CP002219;413888;44000;543371;68295;186801;1239
CP002293;581103;129337;186817;1385;91061;1239
CP002326;52765;44000;543371;68295;186801;1239
CP002344;73919;73918;539000;186802;186801;1239
CP002365;1358;1357;1300;186826;91061;1239
CP002400;253239;253238;541000;186802;186801;1239
CP002403;1264;1263;541000;186802;186801;1239
CP002442;550542;129337;186817;1385;91061;1239
CP002512;1376;1375;186827;186826;91061;1239
CP002547;51197;51196;186807;186802;186801;1239
CP002627;1390;1386;186817;1385;91061;1239
CP002634;1390;1386;186817;1385;91061;1239
CP002637;69823;970;1843491;909929;909932;1239
CP002736;1565;1562;186807;186802;186801;1239
CP002739;29329;28895;543371;68295;186801;1239
CP002770;58135;2282741;186807;186802;186801;1239
